v2_declaration	decision	v3_declaration	rationale
github.com/floegence/floret/v2/config :: type AgentConfig struct	keep	github.com/floegence/floret/v3/config :: type AgentConfig struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentConfig.Profile github.com/floegence/floret/v2/config.AgentProfile tag="json:\"profile\""	keep	github.com/floegence/floret/v3/config :: field AgentConfig.Profile github.com/floegence/floret/v3/config.AgentProfile tag="json:\"profile\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentConfig.SystemPrompt string tag="json:\"system_prompt\""	keep	github.com/floegence/floret/v3/config :: field AgentConfig.SystemPrompt string tag="json:\"system_prompt\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentConfig.Context github.com/floegence/floret/v2/config.ContextPolicy tag="json:\"context\""	keep	github.com/floegence/floret/v3/config :: field AgentConfig.Context github.com/floegence/floret/v3/config.ContextPolicy tag="json:\"context\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentConfig.Reasoning github.com/floegence/floret/v2/config.ReasoningSelection tag="json:\"reasoning,omitempty\""	keep	github.com/floegence/floret/v3/config :: field AgentConfig.Reasoning github.com/floegence/floret/v3/config.ReasoningSelection tag="json:\"reasoning,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: method AgentConfig.Validate func() error	keep	github.com/floegence/floret/v3/config :: method AgentConfig.Validate func() error	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type AgentProfile struct	keep	github.com/floegence/floret/v3/config :: type AgentProfile struct	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentProfile.ID string tag="json:\"id\""	keep	github.com/floegence/floret/v3/config :: field AgentProfile.ID string tag="json:\"id\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentProfile.Name string tag="json:\"name\""	keep	github.com/floegence/floret/v3/config :: field AgentProfile.Name string tag="json:\"name\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: field AgentProfile.Description string tag="json:\"description,omitempty\""	keep	github.com/floegence/floret/v3/config :: field AgentProfile.Description string tag="json:\"description,omitempty\""	retain the product-neutral contract under the v3 semantic import path
github.com/floegence/floret/v2/config :: type ContextPolicy struct	keep	github.com/floegence/floret/v3/config :: type ContextPolicy struct	retain the product-neutral contract under the v3 semantic import path
